city_ascii,admin_name,admin_name_ascii
Lakshmeshwar,Karn?taka,Karnataka
Zira,Punjab,Punjab
Karamadai,Tamil N?du,Tamil Nadu
Robertsganj,Uttar Pradesh,Uttar Pradesh
Thana Bhawan,Uttar Pradesh,Uttar Pradesh
Hojai,Assam,Assam
Kadungutt,Kerala,Kerala
Kidangazhi,Kerala,Kerala
Nemmara,Kerala,Kerala
Punarakh,Bih?r,Bihar
Patamundai,Odisha,Odisha
Kodaikanal,Tamil N?du,Tamil Nadu
Chelora,Kerala,Kerala
Ichchapuram,Andhra Pradesh,Andhra Pradesh
Purna,Mah?r?shtra,Maharashtra
Maur,Punjab,Punjab
Nargund,Karn?taka,Karnataka
Parappur,Kerala,Kerala
Kotma,Madhya Pradesh,Madhya Pradesh
Nellaya,Kerala,Kerala
Balarampuram,Kerala,Kerala
Dinhata,West Bengal,West Bengal
Dighwara,Bih?r,Bihar
Garhakota,Madhya Pradesh,Madhya Pradesh
Vempalle,Andhra Pradesh,Andhra Pradesh
Wai,Mah?r?shtra,Maharashtra
Malpura,R?jasth?n,Rajasthan
Bramhapuri,Mah?r?shtra,Maharashtra
Pihani,Uttar Pradesh,Uttar Pradesh
Shirdi,Mah?r?shtra,Maharashtra
Nim ka Thana,R?jasth?n,Rajasthan
Taloda,Mah?r?shtra,Maharashtra
Naduvattam,Kerala,Kerala
Chekkal,Tamil N?du,Tamil Nadu
Tarikere,Karn?taka,Karnataka
Mokokchung,N?g?land,Nagaland
Majhaul,Bih?r,Bihar
Partur,Mah?r?shtra,Maharashtra
Jalarpet,Tamil N?du,Tamil Nadu
Tirkadavur,Kerala,Kerala
Huzurnagar,Andhra Pradesh,Andhra Pradesh
Pantnagar,Uttar?khand,Uttarakhand
Tammampatti,Tamil N?du,Tamil Nadu
Kattipparutti,Kerala,Kerala
Kalakkadu,Tamil N?du,Tamil Nadu
Khair,Uttar Pradesh,Uttar Pradesh
Kharagpur,Bih?r,Bihar
Mahna,Punjab,Punjab
Shiggaon,Karn?taka,Karnataka
Hole Narsipur,Karn?taka,Karnataka
Chitapur,Karn?taka,Karnataka
Medchal,Andhra Pradesh,Andhra Pradesh
Narsampet,Andhra Pradesh,Andhra Pradesh
Uravakonda,Andhra Pradesh,Andhra Pradesh
Savanur,Karn?taka,Karnataka
Rafiganj,Bih?r,Bihar
Aravankara,Kerala,Kerala
Sirohi,R?jasth?n,Rajasthan
Udhampur,Jammu and Kashm?r,Jammu and Kashmir
Saiha,Mizoram,Mizoram
Umarga,Mah?r?shtra,Maharashtra
Hamirpur,Uttar Pradesh,Uttar Pradesh
Ulliyil,Kerala,Kerala
Guskhara,West Bengal,West Bengal
Chakapara,West Bengal,West Bengal
Surandai,Tamil N?du,Tamil Nadu
Usilampatti,Tamil N?du,Tamil Nadu
Perunad,Kerala,Kerala
Giddalur,Andhra Pradesh,Andhra Pradesh
Pappinissheri,Kerala,Kerala
Tazhakara,Kerala,Kerala
Pandaul,Bih?r,Bihar
Bibhutpur,Bih?r,Bihar
Rawatsar,R?jasth?n,Rajasthan
Pulppatta,Kerala,Kerala
Yellandu,Andhra Pradesh,Andhra Pradesh
Marancheri,Kerala,Kerala
Wokha,N?g?land,Nagaland
Bapaura,Hary?na,Haryana
Kudachi,Karn?taka,Karnataka
Harra,Uttar Pradesh,Uttar Pradesh
Mel Nariyappanur,Tamil N?du,Tamil Nadu
Dulhanganj,Bih?r,Bihar
Karumattampatti,Tamil N?du,Tamil Nadu
Lingsugur,Karn?taka,Karnataka
Kuchaiburi,Odisha,Odisha
Shiyali,Tamil N?du,Tamil Nadu
Madukkarai,Tamil N?du,Tamil Nadu
Alandatte,Kerala,Kerala
Vadigenhalli,Karn?taka,Karnataka
Hirakud,Odisha,Odisha
Munnarkod,Kerala,Kerala
Mannarakkat,Kerala,Kerala
Allagadda,Andhra Pradesh,Andhra Pradesh
Khajamahalpur,Andhra Pradesh,Andhra Pradesh
Safidon,Hary?na,Haryana
Kolattupuzha,Kerala,Kerala
Dhamnod,Madhya Pradesh,Madhya Pradesh
Manamadurai,Tamil N?du,Tamil Nadu
Marutharod,Kerala,Kerala
Banda,Madhya Pradesh,Madhya Pradesh
Paithan,Mah?r?shtra,Maharashtra
Dapoli,Mah?r?shtra,Maharashtra
Kulittalai,Tamil N?du,Tamil Nadu
Ankola,Karn?taka,Karnataka
Madakalavaripalli,Andhra Pradesh,Andhra Pradesh
Zaidpur,Uttar Pradesh,Uttar Pradesh
Kita Chauhattar,Bih?r,Bihar
Degana,R?jasth?n,Rajasthan
Kalaruch,Jammu and Kashm?r,Jammu and Kashmir
Aiyappan Kovil,Kerala,Kerala
Vedaranniyam,Tamil N?du,Tamil Nadu
Baraidih,Bih?r,Bihar
Badiadka,Kerala,Kerala
Tiruvur,Andhra Pradesh,Andhra Pradesh
Kokrajhar,Assam,Assam
Risod,Mah?r?shtra,Maharashtra
Almora,Uttar?khand,Uttarakhand
Balarampur,West Bengal,West Bengal
Titlagarh,Odisha,Odisha
Waris Aliganj,Bih?r,Bihar
Rudarpur,Uttar Pradesh,Uttar Pradesh
Kallidaikurichi,Tamil N?du,Tamil Nadu
Annigeri,Karn?taka,Karnataka
Pulgaon,Mah?r?shtra,Maharashtra
Mulavur,Kerala,Kerala
Toda Bhim,R?jasth?n,Rajasthan
Byadgi,Karn?taka,Karnataka
Kadungapuram,Kerala,Kerala
Bangaon,Bih?r,Bihar
Narsipatnam,Andhra Pradesh,Andhra Pradesh
Nautanwa,Uttar Pradesh,Uttar Pradesh
Kaippakancheri,Kerala,Kerala
Vemalwada,Andhra Pradesh,Andhra Pradesh
Kasba,Bih?r,Bihar
Chavakkad,Kerala,Kerala
Manganam,Kerala,Kerala
Chempalli,Puducherry,Puducherry
Dhekiajuli,Assam,Assam
Mangalam,Kerala,Kerala
Vettam,Kerala,Kerala
Madhubani,Bih?r,Bihar
Angamali,Kerala,Kerala
Darsi,Andhra Pradesh,Andhra Pradesh
Siripur,Bih?r,Bihar
Madikeri,Karn?taka,Karnataka
Kondapalle,Andhra Pradesh,Andhra Pradesh
Bamaur,Madhya Pradesh,Madhya Pradesh
Churi,Jh?rkhand,Jharkhand
Kidamangalam,Kerala,Kerala
Hisua,Bih?r,Bihar
Zamania,Uttar Pradesh,Uttar Pradesh
Salaya,Gujar?t,Gujarat
Kavundappadi,Tamil N?du,Tamil Nadu
Kartarpur,Punjab,Punjab
Borne,Bih?r,Bihar
Shamsabad,Uttar Pradesh,Uttar Pradesh
Shikarpur,Uttar Pradesh,Uttar Pradesh
Umaria,Madhya Pradesh,Madhya Pradesh
Tekkebhagam,Kerala,Kerala
Chanderi,Madhya Pradesh,Madhya Pradesh
Kareli,Madhya Pradesh,Madhya Pradesh
Hangal,Karn?taka,Karnataka
Turkauliya,Bih?r,Bihar
Elesvaram,Andhra Pradesh,Andhra Pradesh
Fatehpur Sikri,Uttar Pradesh,Uttar Pradesh
Patratu,Jh?rkhand,Jharkhand
Sanchor,R?jasth?n,Rajasthan
Lohagaon,Mah?r?shtra,Maharashtra
Lohogaon,Mah?r?shtra,Maharashtra
Umarkot,Chhatt?sgarh,Chhattisgarh
Arumuganeri,Tamil N?du,Tamil Nadu
Parambil,Kerala,Kerala
Udaipur,Tripura,Tripura
Chand Chaur,Bih?r,Bihar
Mankada,Kerala,Kerala
Kallur,Kerala,Kerala
Vadavalli,Tamil N?du,Tamil Nadu
Debagram,West Bengal,West Bengal
Nanjikkottai,Tamil N?du,Tamil Nadu
Vilakkudi,Kerala,Kerala
Jamikunta,Andhra Pradesh,Andhra Pradesh
Taranagar,R?jasth?n,Rajasthan
Belhi,Bih?r,Bihar
Shamsabad,Andhra Pradesh,Andhra Pradesh
Erraguntla,Andhra Pradesh,Andhra Pradesh
Chemancheri,Kerala,Kerala
Madira,Andhra Pradesh,Andhra Pradesh
Manwat,Mah?r?shtra,Maharashtra
Chemmaruthi,Kerala,Kerala
Turaiyur,Tamil N?du,Tamil Nadu
Ketti,Tamil N?du,Tamil Nadu
Chamtha,Bih?r,Bihar
Pattanapuram,Kerala,Kerala
Sasthankotta,Kerala,Kerala
Manakkara,Tamil N?du,Tamil Nadu
Narsinghgarh,Madhya Pradesh,Madhya Pradesh
Kalyandrug,Andhra Pradesh,Andhra Pradesh
Tattamangalam,Kerala,Kerala
Eramala,Kerala,Kerala
Utraula,Uttar Pradesh,Uttar Pradesh
Kukshi,Madhya Pradesh,Madhya Pradesh
Mangur,Andhra Pradesh,Andhra Pradesh
Kovur,Andhra Pradesh,Andhra Pradesh
Munnar,Kerala,Kerala
Makhdumpur,Bih?r,Bihar
Puraini,Bih?r,Bihar
Tholikuzhi,Kerala,Kerala
Palamel,Kerala,Kerala
Purattur,Kerala,Kerala
Alengad,Kerala,Kerala
Maur Kalan,Punjab,Punjab
Sherpur,Bih?r,Bihar
Jhanjharpur,Bih?r,Bihar
Alamnagar,Bih?r,Bihar
Bagasra,Gujar?t,Gujarat
Kottaikuppam,Tamil N?du,Tamil Nadu
Velliyod,Kerala,Kerala
Singia,Bih?r,Bihar
Tekkekara Kizhakku,Kerala,Kerala
Sadabad,Uttar Pradesh,Uttar Pradesh
Kochugaon,Assam,Assam
Tuljapur,Mah?r?shtra,Maharashtra
Lalgola,West Bengal,West Bengal
Masur,Mah?r?shtra,Maharashtra
Nautan Dube,Bih?r,Bihar
Thazhamel,Kerala,Kerala
Rahatgarh,Madhya Pradesh,Madhya Pradesh
Shikarpur,Karn?taka,Karnataka
Kurivikod,Tamil N?du,Tamil Nadu
Cholavandan,Tamil N?du,Tamil Nadu
Charthawal,Uttar Pradesh,Uttar Pradesh
Samdhin,Uttar Pradesh,Uttar Pradesh
Elur,Kerala,Kerala
Nauagarhi,Bih?r,Bihar
Deori Khas,Madhya Pradesh,Madhya Pradesh
Kunnatnad,Kerala,Kerala
Kolachel,Tamil N?du,Tamil Nadu
Sanha,Bih?r,Bihar
Vellanad,Kerala,Kerala
Sri Madhopur,R?jasth?n,Rajasthan
Lumding,Assam,Assam
Sherpur Khurd,Uttar Pradesh,Uttar Pradesh
Vadakakarai,Kerala,Kerala
Naspur,Andhra Pradesh,Andhra Pradesh
Unchagao,Mah?r?shtra,Maharashtra
Podili,Andhra Pradesh,Andhra Pradesh
Shrigonda,Mah?r?shtra,Maharashtra
Kalliyassheri,Kerala,Kerala
Bachhraon,Uttar Pradesh,Uttar Pradesh
Malaikkal,Kerala,Kerala
Tummapala,Andhra Pradesh,Andhra Pradesh
Mushabani,Jh?rkhand,Jharkhand
Karera,Madhya Pradesh,Madhya Pradesh
Malakanagiri,Odisha,Odisha
Sagwara,R?jasth?n,Rajasthan
Tarakeswar,West Bengal,West Bengal
Badami,Karn?taka,Karnataka
Husainabad,Jh?rkhand,Jharkhand
Bairi Chak,Bih?r,Bihar
Leh,Lad?kh,Ladakh
Pattanakkad,Kerala,Kerala
Sholinghur,Tamil N?du,Tamil Nadu
Dharampur,Hary?na,Haryana
Manavadar,Gujar?t,Gujarat
Palaiya Ayakkudi,Tamil N?du,Tamil Nadu
Chinnalapatti,Tamil N?du,Tamil Nadu
Tiruvambadi,Kerala,Kerala
Pattittara,Kerala,Kerala
Dharmadam,Kerala,Kerala
Mahemdavad,Gujar?t,Gujarat
Gadarpur,Uttar?khand,Uttarakhand
Ulliyeri,Kerala,Kerala
Tekkali,Andhra Pradesh,Andhra Pradesh
Pedana,Andhra Pradesh,Andhra Pradesh
Mattathur,Kerala,Kerala
Pandua,West Bengal,West Bengal
Babura,Bih?r,Bihar
Bannur,Karn?taka,Karnataka
Chengam,Tamil N?du,Tamil Nadu
Talakkad,Kerala,Kerala
Devarshola,Tamil N?du,Tamil Nadu
Gariadhar,Gujar?t,Gujarat
Sankaramangalam,Kerala,Kerala
Nagawaram,Andhra Pradesh,Andhra Pradesh
Mainaguri,West Bengal,West Bengal
Karuvakulam,Kerala,Kerala
Uran,Mah?r?shtra,Maharashtra
Karjan,Gujar?t,Gujarat
Muvattupula,Kerala,Kerala
Manawar,Madhya Pradesh,Madhya Pradesh
Kuttanallur,Tamil N?du,Tamil Nadu
Dhari,Gujar?t,Gujarat
Mansa,Gujar?t,Gujarat
Rehli,Madhya Pradesh,Madhya Pradesh
Shahpura,R?jasth?n,Rajasthan
Sallimedu,Tamil N?du,Tamil Nadu
Koni,Kerala,Kerala
Chimakurti,Andhra Pradesh,Andhra Pradesh
Taramangalam,Tamil N?du,Tamil Nadu
Anjad,Madhya Pradesh,Madhya Pradesh
Kaipram,Kerala,Kerala
Periyanayakkanpalaiyam,Tamil N?du,Tamil Nadu
Egra,West Bengal,West Bengal
Kanniparamba,Kerala,Kerala
Mussoorie,Uttar?khand,Uttarakhand
Sakti,Chhatt?sgarh,Chhattisgarh
Gumduru,Andhra Pradesh,Andhra Pradesh
Rahimpur,Bih?r,Bihar
Kondarangi Kiranur,Tamil N?du,Tamil Nadu
Nethirimangalam,Kerala,Kerala
Margram,West Bengal,West Bengal
Mahugaon,Madhya Pradesh,Madhya Pradesh
Jamalpur,Bih?r,Bihar
Arda,Him?chal Pradesh,Himachal Pradesh
Mundahal Khurd,Hary?na,Haryana
Masabdisa,,
Ranpur,Gujar?t,Gujarat
Patri,Gujar?t,Gujarat
Edassheri,Kerala,Kerala
Mundi,Madhya Pradesh,Madhya Pradesh
Padappakara,Kerala,Kerala
Tirwa,Uttar Pradesh,Uttar Pradesh
Baghmari,Odisha,Odisha
Hasanparti,Andhra Pradesh,Andhra Pradesh
Sarpavaram,Andhra Pradesh,Andhra Pradesh
Dhandhuka,Gujar?t,Gujarat
Saundhonwali,Uttar?khand,Uttarakhand
Parakadavu,Kerala,Kerala
Koratgi,Karn?taka,Karnataka
Navapur,Mah?r?shtra,Maharashtra
Riga,Bih?r,Bihar
Birur,Karn?taka,Karnataka
Kotturu,Karn?taka,Karnataka
Marhaura,Bih?r,Bihar
Triprangottur,Kerala,Kerala
Panakkudi,Tamil N?du,Tamil Nadu
Ozhur,Kerala,Kerala
Kodayattur,Kerala,Kerala
Tiruvegapra,Kerala,Kerala
Krishnarajpet,Karn?taka,Karnataka
Talwara,Punjab,Punjab
Madavur,Kerala,Kerala
Nattam,Tamil N?du,Tamil Nadu
Devarkonda,Andhra Pradesh,Andhra Pradesh
Sursand,Bih?r,Bihar
Hosdurga,Karn?taka,Karnataka
Nepanagar,Madhya Pradesh,Madhya Pradesh
Husnabad,Andhra Pradesh,Andhra Pradesh
Puthupalli,Kerala,Kerala
Jamai,Madhya Pradesh,Madhya Pradesh
Kalpatta,Kerala,Kerala
Mannargudi,Tamil N?du,Tamil Nadu
Veliyangod,Kerala,Kerala
Kollengode,Kerala,Kerala
Rarott,Kerala,Kerala
Lakheri,R?jasth?n,Rajasthan
Chiknayakanhalli,Karn?taka,Karnataka
Maranga,Bih?r,Bihar
Behror,R?jasth?n,Rajasthan
Minad,Kerala,Kerala
Sankaridrug,Tamil N?du,Tamil Nadu
Pirakkad,Kerala,Kerala
Ibrahimpatnam,Andhra Pradesh,Andhra Pradesh
Mudbidri,Karn?taka,Karnataka
Atmakur,Andhra Pradesh,Andhra Pradesh
Vadakku Valliyur,Tamil N?du,Tamil Nadu
Tirukkalikkunram,Tamil N?du,Tamil Nadu
Marar,Bih?r,Bihar
Pilachikare,Kerala,Kerala
Pattikonda,Andhra Pradesh,Andhra Pradesh
Nalakadoddi,Andhra Pradesh,Andhra Pradesh
Aralam,Kerala,Kerala
Khunti,Jh?rkhand,Jharkhand
Rasra,Uttar Pradesh,Uttar Pradesh
Garaimari,Bih?r,Bihar
Dildarnagar,Uttar Pradesh,Uttar Pradesh
Udaipur,R?jasth?n,Rajasthan
Maddagiri,Karn?taka,Karnataka
Beldanga,West Bengal,West Bengal
Raghopur,Bih?r,Bihar
Pallijkarani,Tamil N?du,Tamil Nadu
Mahendragarh,Hary?na,Haryana
Nakrekal,Andhra Pradesh,Andhra Pradesh
Sankrail,West Bengal,West Bengal
Colgong,Bih?r,Bihar
Sonamukhi,West Bengal,West Bengal
Kalappatti,Tamil N?du,Tamil Nadu
Vattalkundu,Tamil N?du,Tamil Nadu
Uttamapalaiyam,Tamil N?du,Tamil Nadu
Deodrug,Karn?taka,Karnataka
Vallikunnam,Kerala,Kerala
Vandiyur,Tamil N?du,Tamil Nadu
Ponmana,Kerala,Kerala
Gudalur,Tamil N?du,Tamil Nadu
Harij,Gujar?t,Gujarat
Placheri,Kerala,Kerala
Kailaras,Madhya Pradesh,Madhya Pradesh
Kuttuparamba,Kerala,Kerala
Ariyalur,Tamil N?du,Tamil Nadu
Nahan,Him?chal Pradesh,Himachal Pradesh
Karippira,Kerala,Kerala
Ladwa,Hary?na,Haryana
Gidri,Punjab,Punjab
Pokhram,Bih?r,Bihar
Kudligi,Karn?taka,Karnataka
Virapandi,Tamil N?du,Tamil Nadu
Kodumur,Andhra Pradesh,Andhra Pradesh
Narsimlapet,Andhra Pradesh,Andhra Pradesh
Kamalapuram,Karn?taka,Karnataka
Ponmala,Kerala,Kerala
Landhaura,Uttar?khand,Uttarakhand
Umrat,,
Maddur,Karn?taka,Karnataka
Nongstoin,Megh?laya,Meghalaya
Raikot,Punjab,Punjab
Murliganj,Bih?r,Bihar
Nauhata,Bih?r,Bihar
Pattambi,Kerala,Kerala
Pawayan,Uttar Pradesh,Uttar Pradesh
Neduvannur,Kerala,Kerala
Edayikunnam,Kerala,Kerala
Akkattettar,Kerala,Kerala
Simri Bakhriarpur,Bih?r,Bihar
Sottaiyampalaiyam,Tamil N?du,Tamil Nadu
Bagha Purana,Punjab,Punjab
Losal,R?jasth?n,Rajasthan
Rajpur,Madhya Pradesh,Madhya Pradesh
Pardi,Gujar?t,Gujarat
Pavugada,Karn?taka,Karnataka
Nenmem,Kerala,Kerala
Elanjivaliseri,Kerala,Kerala
Harur,Tamil N?du,Tamil Nadu
Banswada,Andhra Pradesh,Andhra Pradesh
Ramanayyapeta,Andhra Pradesh,Andhra Pradesh
Maharajpur,Madhya Pradesh,Madhya Pradesh
Mannanchori,Kerala,Kerala
Brahmana Periya Agraharam,Tamil N?du,Tamil Nadu
Puvali,Kerala,Kerala
Tarana,Madhya Pradesh,Madhya Pradesh
Kizhakkott,Kerala,Kerala
Puttankulam,Kerala,Kerala
Saho,Bih?r,Bihar
Srungavarapukota,Andhra Pradesh,Andhra Pradesh
Karanjia,Odisha,Odisha
Kuruvattur,Kerala,Kerala
Hajipur,Punjab,Punjab
Edappalli,Kerala,Kerala
Antur,Kerala,Kerala
Sirsaganj,Uttar Pradesh,Uttar Pradesh
Kotagiri,Tamil N?du,Tamil Nadu
Shahpura,R?jasth?n,Rajasthan
Chennamangalam,Kerala,Kerala
Sangola,Mah?r?shtra,Maharashtra
Sheohar,Bih?r,Bihar
Kuli,West Bengal,West Bengal
Kalwakurti,Andhra Pradesh,Andhra Pradesh
Devanhalli,Karn?taka,Karnataka
Gingee,Tamil N?du,Tamil Nadu
Karakurisshi,Kerala,Kerala
Kushtagi,Karn?taka,Karnataka
Kanavaikuli,Kerala,Kerala
Aron,Madhya Pradesh,Madhya Pradesh
Dhabauli,Bih?r,Bihar
Goriar,Bih?r,Bihar
Vilangudi,Tamil N?du,Tamil Nadu
Malmal,Bih?r,Bihar
Umargam,Gujar?t,Gujarat
Barughutu,Jh?rkhand,Jharkhand
Wasi,Mah?r?shtra,Maharashtra
Nibria,West Bengal,West Bengal
Mattul,Puducherry,Puducherry
Vadnagar,Gujar?t,Gujarat
Charkhari,Uttar Pradesh,Uttar Pradesh
Paivalike,Kerala,Kerala
Khategaon,Madhya Pradesh,Madhya Pradesh
Tudiyalur,Tamil N?du,Tamil Nadu
Poruvakara,Kerala,Kerala
Amarpur,Bih?r,Bihar
Tanguturu,Andhra Pradesh,Andhra Pradesh
Mukher,Mah?r?shtra,Maharashtra
Parsa,Bih?r,Bihar
Pachor,Madhya Pradesh,Madhya Pradesh
Padiyanallur,Tamil N?du,Tamil Nadu
Magadi,Karn?taka,Karnataka
Kantai,Bih?r,Bihar
Rardhu,Gujar?t,Gujarat
Rayamangalam,Kerala,Kerala
Patjirwa,Bih?r,Bihar
Suluru,Andhra Pradesh,Andhra Pradesh
Nasriganj,Bih?r,Bihar
Bandipura,Jammu and Kashm?r,Jammu and Kashmir
Karimba,Kerala,Kerala
Konnur,Karn?taka,Karnataka
Vandikarai,Kerala,Kerala
Sadri,R?jasth?n,Rajasthan
Ayyagarpet,Andhra Pradesh,Andhra Pradesh
Nalbari,Assam,Assam
Penukonda,Andhra Pradesh,Andhra Pradesh
Balussheri,Kerala,Kerala
Varandarapilli,Kerala,Kerala
Bihpur,Bih?r,Bihar
Pallippurattuseri,Kerala,Kerala
Nokha,Bih?r,Bihar
Bhander,Madhya Pradesh,Madhya Pradesh
Haliyal,Karn?taka,Karnataka
Debiapur,Uttar Pradesh,Uttar Pradesh
Baler,R?jasth?n,Rajasthan
Ezhipram,Kerala,Kerala
Digboi,Assam,Assam
Parimpudi,Andhra Pradesh,Andhra Pradesh
Afzalpur,Karn?taka,Karnataka
Irimbiliyam,Kerala,Kerala
Kuzhittura,Tamil N?du,Tamil Nadu
Raver,Mah?r?shtra,Maharashtra
Malebennur,Karn?taka,Karnataka
Madhura,Bih?r,Bihar
Amangal,Andhra Pradesh,Andhra Pradesh
Bagepalli,Karn?taka,Karnataka
Payakaraopeta,Andhra Pradesh,Andhra Pradesh
Basi,Punjab,Punjab
Kadappuram,Kerala,Kerala
Nainijor,Bih?r,Bihar
Nelliyalam,Tamil N?du,Tamil Nadu
Margherita,Arun?chal Pradesh,Arunachal Pradesh
Maner,Bih?r,Bihar
Kulasekharapuram,Tamil N?du,Tamil Nadu
Pappakurichchi,Tamil N?du,Tamil Nadu
Pamidi,Andhra Pradesh,Andhra Pradesh
Kadambanad,Kerala,Kerala
Kararan,Punjab,Punjab
Areraj,Bih?r,Bihar
Madattukkulam,Tamil N?du,Tamil Nadu
Kalikavu,Kerala,Kerala
Gursarai,Uttar Pradesh,Uttar Pradesh
Punch,Jammu and Kashm?r,Jammu and Kashmir
Vadippatti,Tamil N?du,Tamil Nadu
Bankapur,Karn?taka,Karnataka
Shencottah,Tamil N?du,Tamil Nadu
Magilampupuram,Tamil N?du,Tamil Nadu
Tuvur,Kerala,Kerala
Srinivaspur,Karn?taka,Karnataka
Trikkunnapuzha,Kerala,Kerala
Thatha,Bih?r,Bihar
Gadhada,Gujar?t,Gujarat
Meppayyur,Kerala,Kerala
Soron,Uttar Pradesh,Uttar Pradesh
Alattur,Kerala,Kerala
Bhuban,Odisha,Odisha
Mamidalapadu,Andhra Pradesh,Andhra Pradesh
Wellington,Tamil N?du,Tamil Nadu
Nediyanad,Kerala,Kerala
Nannamukku,Kerala,Kerala
Talaja,Gujar?t,Gujarat
Kuppadi,Kerala,Kerala
Dalsingh Sarai,Bih?r,Bihar
Chettipalaiyam,Tamil N?du,Tamil Nadu
Silao,Bih?r,Bihar
Rajgarh,R?jasth?n,Rajasthan
Manihari,Bih?r,Bihar
Lauri,Madhya Pradesh,Madhya Pradesh
Ghataro Chaturbhuj,Bih?r,Bihar
Shahganj,Uttar Pradesh,Uttar Pradesh
Manasa,Madhya Pradesh,Madhya Pradesh
Dasuya,Punjab,Punjab
Perumbalam,Kerala,Kerala
Nyamti,Karn?taka,Karnataka
Deogarh,Odisha,Odisha
Kantabanji,Odisha,Odisha
Ahmadabad,Bih?r,Bihar
Karumandi Chellipalaiyam,Tamil N?du,Tamil Nadu
Maski,Karn?taka,Karnataka
Tamarakulam,Kerala,Kerala
Panchla,West Bengal,West Bengal
Mandi,Him?chal Pradesh,Himachal Pradesh
Mavelikara,Kerala,Kerala
Mauganj,Madhya Pradesh,Madhya Pradesh
Beohari,Madhya Pradesh,Madhya Pradesh
Nadbai,R?jasth?n,Rajasthan
Dinanagar,Punjab,Punjab
Virakeralam,Tamil N?du,Tamil Nadu
Rangia,Assam,Assam
Elakadu,Kerala,Kerala
Gundlupet,Karn?taka,Karnataka
Reoti,Uttar Pradesh,Uttar Pradesh
Panchanandapur,West Bengal,West Bengal
Cheranallur,Kerala,Kerala
Ubaidullahganj,Madhya Pradesh,Madhya Pradesh
Koelwar,Bih?r,Bihar
Narasannapeta,Andhra Pradesh,Andhra Pradesh
Rasiari,Bih?r,Bihar
Mirganj,Bih?r,Bihar
Mel Bhuvanagiri,Tamil N?du,Tamil Nadu
Kudlu,Kerala,Kerala
Tekkalakote,Karn?taka,Karnataka
Talikota,Karn?taka,Karnataka
Sograha,Bih?r,Bihar
Vadakkanandal,Tamil N?du,Tamil Nadu
Buddayyakota,Andhra Pradesh,Andhra Pradesh
Kottakota,Andhra Pradesh,Andhra Pradesh
Guruzala,Andhra Pradesh,Andhra Pradesh
Budhlada,Punjab,Punjab
Jirwa,Bih?r,Bihar
Mankachar,Megh?laya,Meghalaya
Dum Duma,Assam,Assam
Suar,Uttar Pradesh,Uttar Pradesh
Guduru,Andhra Pradesh,Andhra Pradesh
Ringas,R?jasth?n,Rajasthan
Bijbiara,Jammu and Kashm?r,Jammu and Kashmir
Baruni,Bih?r,Bihar
Vadakku Viravanallur,Tamil N?du,Tamil Nadu
Elangunnapuzha,Kerala,Kerala
Phulera,R?jasth?n,Rajasthan
Terdal,Karn?taka,Karnataka
Renigunta,Andhra Pradesh,Andhra Pradesh
Sandi,Uttar Pradesh,Uttar Pradesh
Gahmar,Uttar Pradesh,Uttar Pradesh
Mangaldai,Assam,Assam
Dharmapuram,Tamil N?du,Tamil Nadu
Tiruppattur,Tamil N?du,Tamil Nadu
Naduvannur,Kerala,Kerala
Rampur,Bih?r,Bihar
Chintalapudi,Andhra Pradesh,Andhra Pradesh
Masrakh,Bih?r,Bihar
Mannachchanellur,Tamil N?du,Tamil Nadu
Krishnapuram,Kerala,Kerala
Jaynagar-Majilpur,West Bengal,West Bengal
Gilarchat,West Bengal,West Bengal
Jodhpur,Gujar?t,Gujarat
Dhrol,Gujar?t,Gujarat
Vesala,Kerala,Kerala
Jharka,Bih?r,Bihar
Perunkalattu,Tamil N?du,Tamil Nadu
Kotal,Him?chal Pradesh,Himachal Pradesh
Gokarn,Karn?taka,Karnataka
Polasara,Odisha,Odisha
Karkala,Karn?taka,Karnataka
Vayakkalattu,Kerala,Kerala
Raman,Punjab,Punjab
Kadamalaikkundu,Tamil N?du,Tamil Nadu
Ladkhed,Mah?r?shtra,Maharashtra
Mungaoli,Madhya Pradesh,Madhya Pradesh
Chhota Udepur,Gujar?t,Gujarat
Karavaram,Kerala,Kerala
Koba,Gujar?t,Gujarat
Bishunpur Sundar,Bih?r,Bihar
Seondha,Madhya Pradesh,Madhya Pradesh
Cherukolattur,Kerala,Kerala
Chinna Salem,Tamil N?du,Tamil Nadu
Vorkadi,Kerala,Kerala
Safipur,Uttar Pradesh,Uttar Pradesh
Nagod,Madhya Pradesh,Madhya Pradesh
Netapur Tanda,Andhra Pradesh,Andhra Pradesh
Nanminda,Kerala,Kerala
Kako,Bih?r,Bihar
Tarkeshwar,Gujar?t,Gujarat
Sirumugai,Tamil N?du,Tamil Nadu
Chainpura,Bih?r,Bihar
Nagar,R?jasth?n,Rajasthan
Raghunathpur,West Bengal,West Bengal
Vijapur,Gujar?t,Gujarat
Niramaruthur,Kerala,Kerala
Poranki,Andhra Pradesh,Andhra Pradesh
Nettappakkam,Tamil N?du,Tamil Nadu
Bhikhi,Punjab,Punjab
Mannadipattu,Tamil N?du,Tamil Nadu
Bathnaha,Bih?r,Bihar
Pauri,Uttar?khand,Uttarakhand
Kiranur,Tamil N?du,Tamil Nadu
Chengannur,Kerala,Kerala
Nonahi,Bih?r,Bihar
Timurni,Madhya Pradesh,Madhya Pradesh
Jevargi,Karn?taka,Karnataka
Babra,Gujar?t,Gujarat
